Job.Titles,Department,Annual.Salary
SERGEANT,POLICE,101442
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,94122
CHIEF CONTRACT EXPEDITER,GENERAL SERVICES,101592
CIVIL ENGINEER IV,WATER MGMNT,110064
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,50436
FIRE ENGINEER-EMT,FIRE,103350
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,87006
FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,102228
POLICE OFFICER,POLICE,84054
FIREFIGHTER/PARAMEDIC,FIRE,91272
ENGINEERING TECHNICIAN VI,WATER MGMNT,111492
FIREFIGHTER-EMT,FIRE,95484
CIVIL ENGINEER II,WATER MGMNT,65448
POLICE OFFICER,POLICE,90024
PARAMEDIC I/C,FIRE,82614
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,76266
POLICE OFFICER,POLICE,48078
SENIOR PROGRAMMER/ANALYST,FAMILY & SUPPORT,110064
CIVIL ENGINEER IV,WATER MGMNT,110064
ENGINEERING TECHNICIAN V,TRANSPORTN,55644
POLICE OFFICER,POLICE,80016
POLICE OFFICER,POLICE,72510
SUPERINTENDENT OF SPECIAL TRAFFIC SERVICES,OEMC,65820
AMBULANCE COMMANDER,FIRE,128970
POLICE OFFICER,POLICE,68616
FIREFIGHTER-EMT,FIRE,89148
TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,101712
PERSONAL COMPUTER OPERATOR III,HEALTH,70092
FIREFIGHTER-EMT,FIRE,99324
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,48078
SENIOR ENVIRONMENTAL INSPECTOR,HEALTH,84420
POLICE OFFICER,POLICE,76266
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,72510
CIVIL ENGINEER II,WATER MGMNT,92388
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,97440
POLICE OFFICER,POLICE,72510
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,90024
DIVISION SUPERINTENDENT,STREETS & SAN,117660
PRESS AIDE I,MAYOR'S OFFICE,66300
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,90024
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,HEALTH,73440
POLICE OFFICER,POLICE,72510
POLICE OFFICER,POLICE,87006
DETENTION AIDE,POLICE,43800
FIREFIGHTER,FIRE,97386
POLICE OFFICER,POLICE,76266
LIEUTENANT-EMT,FIRE,121818
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,90024
POLICE COMMUNICATIONS OPERATOR II,OEMC,57912
FIREFIGHTER,FIRE,93666
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,100980
