treat_pay,treat_soc,treat_arg,treat_info,treat_min,nudge,control,intention1,intention2_1,intention3,vaccinated,clicked,gap1,already_vacced,female,age,age_band,region,covid1_1,covid1_2,covid2_1,covid2_2,covid2_3,covid2_4,civilstatus,civilstatus_d1,civilstatus_d2,civilstatus_d3,civilstatus_d4,civilstatus_d5,education,education_d1,education_d2,education_d3,education_d4,education_d5,education_d6,occupation,occupation_d1,occupation_d2,occupation_d3,occupation_d4,occupation_d5,mother,mother_d1,mother_d2,mother_d3,mother_d4,mother_d5,mother_d6,mother_d7,mother_d8,father,father_d1,father_d2,father_d3,father_d4,father_d5,father_d6,father_d7,father_d8,income,income_d1,income_d2,income_d3,income_d4,income_d5,income_d6,income_d7,income_d8,income_d9,income_d10,income_d11,income_d12,haschildren,dist_survey_rollout,dist_datamerge,largeregions,vacc_dist_cens,vaccinated_10d,vaccinated_20d,vaccinated_30d,vaccinated_40d,vaccinated_50d,vaccinated_rollout,vaccinated_incentives,week_num,falk1_1,falk1_2,falk1_3,falk2_1,falk2_2,falk2_3,falk2_4,belief_prot_death,belief_cause_death,treatment,single,university,foreign,unemployed
0,1,0,0,0,1,0,0,8,7,100,0,NA,0,1,44,45,19,1,0,2,3,4,1,1,1,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,8,0,0,0,1,0,0,0,0,8,0,0,0,1,0,0,0,0,27500,0,0,0,0,0,1,0,0,0,0,0,0,1,-25,76,Västsverige,18,0,100,100,100,100,100,100,3193,11,11,11,11,7,7,11,NA,NA,1,1,0,1,0
0,0,0,1,0,1,0,100,100,4,100,0,0,0,1,43,45,13,1,0,3,3,4,3,3,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12500,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,76,Östra Mellansverige,23,0,0,100,100,100,100,100,3193,4,1,11,11,8,9,11,8,0,3,0,0,0,0
0,0,0,1,0,1,0,100,100,2,0,0,100,0,0,43,45,21,1,0,2,2,2,1,3,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27500,0,0,0,0,0,1,0,0,0,0,0,0,1,-20,76,Östra Mellansverige,30,0,0,0,100,100,100,100,3193,4,9,7,10,5,7,9,7,1,3,0,0,0,0
0,0,1,0,0,1,0,100,100,3,100,0,0,0,1,45,50,1,0,0,5,3,1,1,4,0,0,0,1,0,5,0,0,0,0,1,0,1,1,0,0,0,0,6,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,37500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,76,Sydsverige,21,0,0,100,100,100,100,100,3193,11,6,9,11,11,6,8,NA,NA,2,0,1,0,0
0,0,0,0,1,0,0,100,100,1,100,0,0,0,1,47,50,21,0,0,5,1,2,2,2,0,1,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32500,0,0,0,0,0,0,1,0,0,0,0,0,1,-13,76,Östra Mellansverige,4,100,100,100,100,100,100,100,3193,5,7,6,10,8,6,9,NA,NA,4,0,0,0,0
0,1,0,0,0,1,0,0,5,10,0,0,NA,0,0,43,45,12,0,0,4,4,4,4,3,0,0,1,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27500,0,0,0,0,0,1,0,0,0,0,0,0,1,-6,76,Stockholm,30,0,0,0,0,0,0,0,3193,4,3,6,6,5,8,7,NA,NA,1,0,0,0,0
0,0,0,0,1,0,0,100,100,2,100,0,0,0,0,47,50,3,0,0,5,1,1,1,4,0,0,0,1,0,5,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2500,1,0,0,0,0,0,0,0,0,0,0,0,1,-12,76,Småland med öarna,26,0,0,100,100,100,100,100,3193,8,6,9,11,7,9,10,NA,NA,4,0,1,0,0
0,1,0,0,0,1,0,100,80,2,0,0,100,0,0,46,50,19,0,0,4,1,2,1,4,0,0,0,1,0,5,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32500,0,0,0,0,0,0,1,0,0,0,0,0,1,-11,76,Västsverige,30,0,0,0,0,0,0,0,3193,10,6,8,9,9,8,9,NA,NA,1,0,1,0,0
0,0,1,0,0,1,0,100,91,2,100,0,0,0,1,45,50,12,0,0,3,4,4,5,4,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22500,0,0,0,0,1,0,0,0,0,0,0,0,1,7,76,Stockholm,4,100,100,100,100,100,100,100,3193,6,2,5,9,1,2,6,NA,NA,2,0,0,0,0
0,0,0,0,1,0,0,100,91,2,100,0,0,0,0,40,45,12,0,0,4,2,2,4,3,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,42500,0,0,0,0,0,0,0,0,1,0,0,0,0,-6,76,Stockholm,17,0,100,100,100,100,100,100,3193,8,9,10,10,8,8,10,NA,NA,4,0,0,0,0
