"Date","Time (LST/LDT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1992/01/01","00:00","579.954","NaN","NaN","578.671","NaN","NaN","NaN","577.336","0"
"1992/02/01","00:00","579.865","NaN","NaN","578.727","NaN","NaN","NaN","577.703","0"
"1992/03/01","00:00","580.994","NaN","NaN","578.92","NaN","NaN","NaN","577.986","0"
"1992/04/01","00:00","580.046","NaN","NaN","579.041","NaN","NaN","NaN","578.186","0"
"1992/05/01","00:00","579.984","NaN","NaN","579.304","NaN","NaN","NaN","578.786","0"
"1992/06/01","00:00","579.925","NaN","NaN","579.285","NaN","NaN","NaN","578.386","0"
"1992/07/01","00:00","580.144","NaN","NaN","579.319","NaN","NaN","NaN","578.724","0"
"1992/08/01","00:00","580.046","NaN","NaN","579.237","NaN","NaN","NaN","578.323","0"
"1992/09/01","00:00","579.793","NaN","NaN","579.077","NaN","NaN","NaN","578.114","0"
"1992/10/01","00:00","579.803","NaN","NaN","579.026","NaN","NaN","NaN","578.114","0"
"1992/11/01","00:00","580.246","NaN","NaN","579.274","NaN","NaN","NaN","578.343","0"
"1992/12/01","00:00","580.203","NaN","NaN","579.088","NaN","NaN","NaN","577.073","0"
"1993/01/01","00:00","NaN","NaN","NaN","579.298","NaN","NaN","NaN","NaN","0"
"1993/02/01","00:00","NaN","NaN","NaN","579.275","NaN","NaN","NaN","NaN","0"
"1993/03/01","00:00","NaN","NaN","NaN","579.259","NaN","NaN","NaN","NaN","0"
"1993/04/01","00:00","NaN","NaN","NaN","579.705","NaN","NaN","NaN","NaN","0"
"1993/05/01","00:00","NaN","NaN","NaN","579.833","NaN","NaN","NaN","NaN","0"
"1993/06/01","00:00","NaN","NaN","NaN","580.177","NaN","NaN","NaN","NaN","0"
"1993/07/01","00:00","NaN","NaN","NaN","580.394","NaN","NaN","NaN","NaN","0"
"1993/08/01","00:00","NaN","NaN","NaN","580.328","NaN","NaN","NaN","NaN","0"
"1993/09/01","00:00","NaN","NaN","NaN","580.108","NaN","NaN","NaN","NaN","0"
"1993/10/01","00:00","NaN","NaN","NaN","579.82","NaN","NaN","NaN","NaN","0"
"1993/11/01","00:00","NaN","NaN","NaN","579.678","NaN","NaN","NaN","NaN","0"
"1993/12/01","00:00","NaN","NaN","NaN","579.491","NaN","NaN","NaN","NaN","0"
"1994/01/01","00:00","NaN","NaN","NaN","579.4","NaN","NaN","NaN","NaN","0"
"1994/02/01","00:00","NaN","NaN","NaN","579.383","NaN","NaN","NaN","NaN","0"
"1994/03/01","00:00","NaN","NaN","NaN","579.436","NaN","NaN","NaN","NaN","0"
"1994/04/01","00:00","NaN","NaN","NaN","579.57","NaN","NaN","NaN","NaN","0"
"1994/05/01","00:00","NaN","NaN","NaN","579.78","NaN","NaN","NaN","NaN","0"
"1994/06/01","00:00","NaN","NaN","NaN","579.915","NaN","NaN","NaN","NaN","0"
"1994/07/01","00:00","NaN","NaN","NaN","580.118","NaN","NaN","NaN","NaN","0"
"1994/08/01","00:00","NaN","NaN","NaN","580.095","NaN","NaN","NaN","NaN","0"
"1994/09/01","00:00","NaN","NaN","NaN","579.977","NaN","NaN","NaN","NaN","0"
"1994/10/01","00:00","NaN","NaN","NaN","579.688","NaN","NaN","NaN","NaN","0"
"1994/11/01","00:00","NaN","NaN","NaN","579.455","NaN","NaN","NaN","NaN","0"
"1994/12/01","00:00","NaN","NaN","NaN","579.367","NaN","NaN","NaN","NaN","0"
"1995/01/01","00:00","NaN","NaN","NaN","579.183","NaN","NaN","NaN","NaN","0"
"1995/02/01","00:00","NaN","NaN","NaN","579.072","NaN","NaN","NaN","NaN","0"
"1995/03/01","00:00","NaN","NaN","NaN","579.088","NaN","NaN","NaN","NaN","0"
"1995/04/01","00:00","NaN","NaN","NaN","579.219","NaN","NaN","NaN","NaN","0"
